transaction_id,user_id,plan_type,subscription_amount,payment_mode,payment_status,renewal_status,transaction_timestamp
SUB00000106,USER000529,Family,1468.55,Card,Success,Active,2024-01-15 13:56:20
SUB00000107,USER000651,Premium,659.07,Card,Failed,Active,2025-04-10 10:54:58
SUB00000108,USER002322,Family,1467.27,Card,Success,Expired,2023-09-04 23:50:59
SUB00000109,USER000487,Premium,987.88,UPI,Success,Expired,2024-01-14 10:25:41
SUB00000110,USER002503,Basic,223.84,Wallet,Success,Cancelled,2024-06-16 21:16:05
SUB00000111,USER001808,Premium,763.12,Wallet,Success,Active,2023-11-17 21:13:13
SUB00000112,USER000480,Premium,695.72,NetBanking,Success,Active,2026-02-19 01:25:06
SUB00000113,USER001936,Sports,345.84,Wallet,Success,Cancelled,2024-05-11 14:32:12
SUB00000114,USER000613,Premium,567.47,Wallet,Success,Cancelled,2026-02-20 08:00:04
SUB00000115,USER002919,Premium,827.27,Card,Success,Active,2024-07-09 22:16:07
SUB00000116,USER002934,Family,1089.81,UPI,Success,Cancelled,2023-08-31 15:52:55
SUB00000117,USER000200,Family,817.08,Card,Success,Expired,2025-11-25 03:19:22
SUB00000118,USER000751,Sports,620.77,Card,Success,Cancelled,2023-09-30 11:31:20
SUB00000119,USER002500,Family,1198.53,Wallet,Success,Active,2024-08-30 19:22:17
SUB00000120,USER000653,Sports,599.66,UPI,Success,Active,2026-04-30 14:00:11
SUB00000121,USER001368,Sports,566.87,Card,Pending,Expired,2023-10-16 02:31:31
SUB00000122,USER000292,Sports,466.50,Card,Failed,Active,2025-10-08 10:05:09
SUB00000123,USER001182,Basic,215.56,UPI,Success,Cancelled,2024-11-02 08:38:00
SUB00000124,USER001366,Family,999.55,Wallet,Failed,Cancelled,2024-11-12 02:37:35
SUB00000125,USER000780,Basic,270.57,NetBanking,Success,Expired,2025-12-11 19:39:39
SUB00000126,USER000170,Basic,301.64,UPI,Failed,Active,2023-02-10 07:23:09
SUB00000127,USER002633,Basic,362.27,Card,Pending,Active,2024-07-21 17:24:14
SUB00000128,USER000733,Sports,681.72,Card,Success,Cancelled,2026-06-22 16:34:47
SUB00000129,USER000082,Sports,502.32,Wallet,Success,Active,2026-04-11 02:26:00
SUB00000130,USER000615,Family,1392.34,UPI,Success,Expired,2025-09-10 22:36:01
SUB00000131,USER000589,Sports,651.95,UPI,Success,Active,2024-09-20 09:48:28
SUB00000132,USER002965,Premium,623.90,UPI,Success,Expired,2023-06-09 19:42:05
SUB00000133,USER000068,Sports,451.48,NetBanking,Success,Expired,2024-03-18 18:10:34
SUB00000134,USER002256,Premium,563.55,NetBanking,Success,Active,2025-01-11 16:08:59
SUB00000135,USER000338,Family,1074.70,UPI,Pending,Expired,2024-12-20 22:27:28
SUB00000136,USER000084,Premium,791.95,NetBanking,Success,Cancelled,2026-06-08 05:01:08
SUB00000137,USER002877,Premium,695.87,UPI,Success,Expired,2024-04-19 17:40:31
SUB00000138,USER002339,Basic,266.37,UPI,Failed,Expired,2025-11-06 08:09:40
SUB00000139,USER001369,Basic,208.63,Wallet,Success,Expired,2025-12-21 02:20:30
SUB00000140,USER000540,Basic,220.41,NetBanking,Success,Expired,2026-04-04 01:55:07
SUB00000141,USER001825,Premium,969.83,Wallet,Success,Cancelled,2025-07-19 17:25:46
SUB00000142,USER000040,Sports,449.22,Wallet,Failed,Active,2023-04-03 02:52:21
SUB00000143,USER000335,Premium,872.30,Wallet,Pending,Expired,2024-10-06 23:48:39
SUB00000144,USER000840,Family,1308.51,Card,Pending,Active,2024-01-30 14:11:53
SUB00000145,USER002214,Basic,313.47,NetBanking,Pending,Cancelled,2024-05-06 00:35:28
SUB00000146,USER002494,Family,1325.59,Wallet,Success,Cancelled,2024-05-06 09:57:21
SUB00000147,USER001851,Basic,278.05,UPI,Failed,Active,2023-05-18 03:59:36
SUB00000148,USER001372,Basic,237.64,UPI,Success,Cancelled,2026-05-29 07:29:34
SUB00000149,USER000811,Premium,716.93,UPI,Success,Cancelled,2023-03-16 01:16:27
SUB00000150,USER000673,Family,1286.90,UPI,Success,Active,2024-06-14 17:14:02
SUB00000151,USER001146,Sports,401.93,Wallet,Success,Expired,2025-10-25 02:52:18
SUB00000152,USER002383,Premium,851.04,UPI,Success,Active,2023-02-13 22:41:31
SUB00000153,USER001899,Premium,806.16,NetBanking,Pending,Expired,2023-03-07 23:51:08
SUB00000154,USER000728,Sports,534.86,Card,Success,Expired,2025-02-17 19:36:11
SUB00000155,USER001750,Basic,255.17,Wallet,Success,Cancelled,2025-07-04 01:21:53
SUB00000156,USER000282,Premium,587.31,UPI,Failed,Expired,2023-01-22 04:04:36
SUB00000157,USER000186,Premium,676.03,Wallet,Pending,Cancelled,2024-09-30 04:30:45
SUB00000158,USER000615,Premium,534.07,Wallet,Success,Expired,2025-01-05 08:16:31
SUB00000159,USER001885,Basic,318.42,NetBanking,Failed,Expired,2023-12-24 00:21:01
SUB00000160,USER002658,Premium,576.30,Wallet,Success,Active,2023-01-27 16:19:36
SUB00000161,USER002349,Premium,802.34,Wallet,Pending,Expired,2024-04-17 11:39:30
SUB00000162,USER000155,Premium,981.05,UPI,Failed,Cancelled,2024-06-07 15:47:34
SUB00000163,USER001596,Premium,904.29,NetBanking,Success,Cancelled,2023-04-05 21:12:20
SUB00000164,USER001021,Family,1189.89,Card,Failed,Active,2025-08-02 05:30:40
SUB00000165,USER000937,Basic,254.94,NetBanking,Success,Cancelled,2026-05-16 12:26:04
SUB00000166,USER002966,Sports,496.87,NetBanking,Success,Active,2026-03-17 16:42:29
SUB00000167,USER001549,Sports,603.88,Card,Success,Cancelled,2023-05-02 23:11:58
SUB00000168,USER000783,Sports,370.33,NetBanking,Pending,Active,2024-08-03 09:56:40
SUB00000169,USER000991,Family,871.42,NetBanking,Success,Expired,2026-05-29 21:22:54
SUB00000170,USER001539,Family,990.14,NetBanking,Success,Active,2023-07-10 13:03:33
SUB00000171,USER002032,Premium,977.90,Wallet,Success,Active,2026-04-23 16:12:37
SUB00000172,USER001068,Basic,256.46,NetBanking,Success,Active,2023-03-19 18:30:26
SUB00000173,USER000612,Sports,369.74,Card,Success,Expired,2025-11-20 09:23:22
SUB00000174,USER002928,Premium,657.25,UPI,Success,Expired,2025-06-24 01:26:22
SUB00000175,USER001762,Family,1297.62,UPI,Success,Cancelled,2025-05-14 09:13:03
SUB00000176,USER002393,Sports,339.06,UPI,Success,Expired,2023-12-02 08:42:49
SUB00000177,USER002728,Family,1305.11,Wallet,Success,Active,2025-06-21 19:26:12
SUB00000178,USER001742,Sports,631.82,Wallet,Pending,Active,2026-02-21 12:25:36
SUB00000179,USER002589,Family,1411.09,UPI,Success,Cancelled,2023-12-22 11:42:18
SUB00000180,USER000885,Family,1418.72,UPI,Success,Active,2026-03-26 05:47:18
SUB00000181,USER002310,Premium,853.10,Card,Pending,Active,2024-07-10 23:24:51
SUB00000182,USER001620,Premium,660.28,NetBanking,Success,Expired,2024-06-09 04:02:10
SUB00000183,USER000780,Family,1329.47,UPI,Pending,Expired,2024-06-13 07:26:01
SUB00000184,USER000816,Family,1396.09,UPI,Success,Cancelled,2025-12-20 11:12:52
SUB00000185,USER000227,Sports,299.70,NetBanking,Pending,Active,2023-03-31 05:46:33
SUB00000186,USER000213,Basic,246.75,Wallet,Success,Expired,2023-05-04 11:51:48
SUB00000187,USER000144,Sports,414.22,UPI,Success,Active,2023-10-10 23:35:39
SUB00000188,USER000393,Premium,807.35,UPI,Success,Active,2024-04-08 02:42:31
SUB00000189,USER000694,Family,856.67,Card,Success,Expired,2023-06-09 06:48:59
SUB00000190,USER000055,Sports,387.66,Card,Success,Active,2023-12-04 12:11:56
SUB00000191,USER000978,Family,1370.68,NetBanking,Success,Expired,2023-01-30 03:45:43
SUB00000192,USER001971,Family,1412.33,Card,Success,Active,2026-05-12 15:24:25
SUB00000193,USER002839,Family,999.11,Card,Success,Cancelled,2024-09-18 14:50:48
SUB00000194,USER000356,Family,1045.52,Card,Success,Active,2025-03-12 18:15:30
SUB00000195,USER000541,Sports,540.34,UPI,Pending,Active,2023-07-05 13:26:11
SUB00000196,USER002136,Premium,617.42,Card,Success,Active,2023-04-08 19:59:01
SUB00000197,USER002685,Family,1132.14,Wallet,Success,Cancelled,2026-01-04 08:55:06
SUB00000198,USER000960,Premium,655.58,NetBanking,Success,Active,2024-12-15 03:30:58
SUB00000199,USER000088,Sports,351.73,Wallet,Success,Cancelled,2023-05-06 08:47:55
SUB00000200,USER001384,Basic,307.86,UPI,Pending,Cancelled,2024-11-20 06:32:30
SUB00000201,USER002170,Family,1132.39,Card,Pending,Cancelled,2025-06-24 14:14:29
SUB00000202,USER000709,Premium,840.71,NetBanking,Success,Active,2025-11-13 18:29:24
SUB00000203,USER002364,Premium,980.61,Card,Success,Active,2023-11-25 00:24:29
SUB00000204,USER001198,Basic,381.02,NetBanking,Pending,Active,2024-06-19 18:20:13
SUB00000205,USER002799,Sports,369.50,UPI,Success,Cancelled,2026-03-14 20:21:50
SUB00000206,USER000585,Family,1397.72,NetBanking,Success,Expired,2023-01-20 17:03:52
SUB00000207,USER002837,Premium,858.51,NetBanking,Success,Expired,2026-05-01 04:38:44
SUB00000208,USER001174,Basic,300.93,Card,Pending,Cancelled,2024-03-11 00:34:41
SUB00000209,USER002377,Premium,610.67,NetBanking,Pending,Expired,2026-02-28 04:27:37
SUB00000210,USER000954,Basic,366.69,NetBanking,Success,Expired,2026-04-29 06:39:05
SUB00000211,USER002358,Sports,693.80,UPI,Pending,Cancelled,2026-05-03 03:33:24
SUB00000212,USER000757,Premium,598.64,Card,Failed,Cancelled,2024-03-22 09:07:15
SUB00000213,USER001309,Sports,493.93,Wallet,Pending,Expired,2023-11-27 18:30:20
SUB00000214,USER001977,Basic,268.42,Wallet,Failed,Expired,2026-06-19 09:18:56
SUB00000215,USER000167,Basic,243.08,NetBanking,Failed,Cancelled,2024-06-17 11:07:09
SUB00000216,USER000426,Basic,237.73,Wallet,Success,Cancelled,2026-05-09 14:23:54
SUB00000217,USER001198,Premium,575.92,UPI,Success,Cancelled,2025-03-10 15:59:33
SUB00000218,USER001616,Basic,233.50,Card,Success,Expired,2024-04-05 22:52:45
SUB00000219,USER000786,Basic,358.75,Wallet,Success,Cancelled,2024-10-05 08:18:25
SUB00000220,USER002196,Premium,726.51,Wallet,Success,Active,2026-01-20 11:20:01
SUB00000221,USER001792,Premium,687.69,NetBanking,Success,Active,2023-12-01 08:26:45
SUB00000222,USER002853,Sports,339.98,Card,Success,Expired,2024-02-13 06:06:11
SUB00000223,USER000777,Basic,273.79,Wallet,Success,Expired,2025-02-28 03:01:14
SUB00000224,USER001051,Sports,525.87,NetBanking,Success,Active,2025-07-09 16:36:48
SUB00000225,USER002784,Premium,593.76,UPI,Pending,Expired,2024-02-16 13:29:07
SUB00000226,USER002556,Family,1314.55,Wallet,Success,Cancelled,2026-03-15 02:06:45
SUB00000227,USER002643,Premium,736.14,Wallet,Success,Cancelled,2026-03-31 17:07:26
SUB00000228,USER002262,Premium,776.65,UPI,Success,Cancelled,2023-07-17 22:21:28
SUB00000229,USER001697,Sports,450.44,UPI,Success,Active,2025-07-11 23:38:17
SUB00000230,USER000117,Basic,228.54,Card,Failed,Cancelled,2023-05-23 10:39:15
SUB00000231,USER002061,Sports,643.29,NetBanking,Success,Cancelled,2024-11-16 03:06:20
SUB00000232,USER002180,Family,1090.40,Wallet,Success,Active,2024-12-25 22:37:40
SUB00000233,USER002795,Sports,345.34,Wallet,Failed,Active,2025-12-22 19:25:12
SUB00000234,USER000218,Family,1371.29,Card,Success,Expired,2023-07-14 17:48:09
SUB00000235,USER000750,Basic,254.16,NetBanking,Success,Active,2025-02-16 13:20:58
SUB00000236,USER002727,Family,1428.65,Wallet,Success,Expired,2025-08-29 05:57:37
SUB00000237,USER000670,Basic,252.09,NetBanking,Success,Cancelled,2024-01-20 14:47:22
SUB00000238,USER002019,Sports,489.86,Card,Failed,Expired,2023-01-15 14:00:43
SUB00000239,USER000908,Family,1083.11,NetBanking,Success,Active,2023-12-01 12:02:09
SUB00000240,USER002694,Family,814.44,Wallet,Success,Cancelled,2023-10-23 20:32:34
SUB00000241,USER000249,Premium,693.75,UPI,Failed,Cancelled,2024-10-13 15:15:13
SUB00000242,USER002064,Sports,415.54,UPI,Success,Expired,2023-08-28 03:20:50
SUB00000243,USER000102,Family,1071.95,Wallet,Success,Active,2025-08-07 22:12:55
SUB00000244,USER000447,Basic,315.38,Wallet,Pending,Expired,2023-12-06 08:40:30
SUB00000245,USER001778,Sports,307.10,Wallet,Failed,Active,2025-08-09 14:22:43
SUB00000246,USER001792,Family,929.89,UPI,Success,Expired,2023-06-22 09:41:55
SUB00000247,USER001345,Basic,245.04,UPI,Success,Active,2023-01-26 02:32:49
SUB00000248,USER000809,Sports,676.21,Card,Success,Expired,2024-07-22 02:05:01
SUB00000249,USER000893,Sports,353.02,UPI,Pending,Expired,2024-08-19 08:52:18
SUB00000250,USER001724,Sports,490.32,Card,Pending,Active,2026-02-02 22:23:50
SUB00000251,USER001751,Basic,238.67,NetBanking,Success,Cancelled,2024-06-03 04:12:04
SUB00000252,USER002333,Sports,667.57,UPI,Pending,Active,2024-09-13 02:08:21
SUB00000253,USER000236,Family,1286.51,Wallet,Success,Active,2025-08-13 01:55:49
SUB00000254,USER001512,Premium,536.44,UPI,Pending,Active,2026-05-25 21:47:25
SUB00000255,USER001562,Family,1015.06,NetBanking,Success,Cancelled,2025-01-03 09:36:43
SUB00000256,USER001608,Basic,202.91,NetBanking,Pending,Expired,2025-07-13 01:15:17
SUB00000257,USER002643,Basic,355.09,NetBanking,Success,Cancelled,2025-08-02 12:18:38
SUB00000258,USER001461,Family,867.88,UPI,Success,Active,2024-04-17 15:59:31
SUB00000259,USER002073,Sports,407.96,UPI,Success,Active,2025-11-25 12:15:47
SUB00000260,USER000143,Family,1124.85,UPI,Success,Active,2024-02-14 11:47:12
SUB00000261,USER000178,Sports,682.83,Card,Success,Expired,2023-12-12 02:29:56
SUB00000262,USER000931,Family,1003.67,NetBanking,Success,Active,2023-06-17 05:43:03
SUB00000263,USER000063,Basic,226.07,UPI,Success,Active,2023-08-12 13:10:11
SUB00000264,USER001802,Premium,805.26,Card,Success,Cancelled,2025-09-25 06:45:36
SUB00000265,USER002690,Family,1033.25,Wallet,Success,Active,2023-11-19 09:58:46
SUB00000266,USER000300,Sports,423.88,UPI,Success,Active,2024-08-01 13:00:13
SUB00000267,USER002008,Basic,347.59,Wallet,Success,Active,2023-04-08 09:12:30
SUB00000268,USER002614,Sports,636.07,Wallet,Success,Expired,2023-10-22 03:06:23
SUB00000269,USER000515,Basic,372.71,Wallet,Failed,Expired,2024-07-29 14:57:22
SUB00000270,USER002320,Family,942.26,Card,Failed,Active,2024-02-09 08:02:32
SUB00000271,USER002888,Sports,481.20,NetBanking,Failed,Active,2024-04-02 13:16:15
SUB00000272,USER000172,Premium,587.00,Wallet,Success,Cancelled,2024-03-30 15:12:20
SUB00000273,USER002499,Basic,357.06,Card,Success,Active,2026-06-26 00:05:26
SUB00000274,USER002377,Family,1031.46,NetBanking,Success,Expired,2025-09-21 07:29:39
SUB00000275,USER000565,Basic,210.78,Wallet,Success,Expired,2026-04-23 18:50:20
SUB00000276,USER000036,Family,900.90,NetBanking,Success,Expired,2023-11-04 08:21:42
SUB00000277,USER002428,Family,1479.89,UPI,Success,Cancelled,2024-05-25 08:55:31
SUB00000278,USER000784,Sports,379.60,Wallet,Success,Cancelled,2023-02-09 11:18:01
SUB00000279,USER002022,Premium,516.12,Card,Success,Active,2024-11-07 15:53:40
SUB00000280,USER000593,Basic,261.34,NetBanking,Success,Expired,2023-01-04 03:17:18
SUB00000281,USER000279,Basic,237.08,UPI,Success,Cancelled,2024-08-08 01:36:48
SUB00000282,USER002142,Premium,553.62,Wallet,Success,Expired,2023-05-04 18:23:43
SUB00000283,USER000689,Family,1194.32,NetBanking,Success,Expired,2024-11-15 23:54:42
SUB00000284,USER001548,Basic,379.31,NetBanking,Success,Expired,2025-12-10 06:20:09
SUB00000285,USER001655,Premium,741.70,NetBanking,Success,Active,2025-07-02 19:34:23
SUB00000286,USER002623,Sports,482.70,Wallet,Success,Active,2025-10-21 10:48:12
SUB00000287,USER002573,Premium,545.97,NetBanking,Failed,Expired,2023-01-20 06:47:59
SUB00000288,USER002094,Basic,294.41,Card,Success,Expired,2026-02-05 21:28:10
SUB00000289,USER001024,Sports,368.34,Wallet,Success,Cancelled,2023-12-28 00:35:28
SUB00000290,USER001706,Basic,378.30,UPI,Failed,Cancelled,2024-09-05 18:40:43
SUB00000291,USER000432,Family,1339.93,NetBanking,Success,Active,2023-10-16 22:21:51
SUB00000292,USER000076,Basic,301.03,NetBanking,Success,Cancelled,2025-09-09 14:39:47
SUB00000293,USER001793,Family,1109.65,NetBanking,Success,Cancelled,2024-06-21 03:42:17
SUB00000294,USER001961,Premium,918.25,Card,Success,Active,2025-10-03 06:05:00
SUB00000295,USER000963,Premium,942.94,NetBanking,Success,Active,2024-04-30 05:27:01
SUB00000296,USER002139,Basic,254.52,UPI,Success,Cancelled,2024-04-29 09:20:21
SUB00000297,USER000734,Sports,302.02,UPI,Success,Active,2023-01-13 15:20:39
SUB00000298,USER001968,Sports,548.77,NetBanking,Success,Active,2024-12-17 10:08:48
SUB00000299,USER000427,Premium,822.57,NetBanking,Success,Expired,2023-10-16 17:32:38
SUB00000300,USER001840,Basic,229.28,NetBanking,Success,Expired,2024-12-20 15:32:32
SUB00000301,USER001761,Basic,335.54,NetBanking,Success,Active,2025-06-21 09:56:07
SUB00000302,USER001697,Family,1223.71,UPI,Success,Active,2024-01-11 23:57:41
SUB00000303,USER001301,Premium,841.18,Wallet,Success,Active,2024-08-15 00:22:37
SUB00000304,USER001685,Premium,731.62,UPI,Success,Expired,2025-03-17 02:44:11
SUB00000305,USER001606,Premium,847.40,Card,Success,Active,2026-02-21 04:20:09
SUB00000306,USER001228,Basic,234.03,NetBanking,Failed,Active,2026-06-13 07:32:51
SUB00000307,USER001086,Family,1490.06,UPI,Failed,Active,2024-02-25 11:39:44
SUB00000308,USER000197,Family,1208.25,UPI,Failed,Cancelled,2023-05-04 00:48:29
