search_id,user_id,search_query,recommended_content,clicked_content,recommendation_score,search_timestamp
SRCH00000098,USER002377,Sci-Fi,CONT000620,CONT000099,0.41,2024-09-27 22:58:27
SRCH00000099,USER000413,Action Movies,CONT000131,CONT000131,0.94,2025-10-06 08:36:49
SRCH00000100,USER001213,Action Movies,CONT000555,CONT000131,0.88,2023-11-19 12:23:33
SRCH00000101,USER000786,Marvel,CONT000939,CONT000895,0.57,2025-08-18 17:23:01
SRCH00000102,USER002473,Documentary,CONT000865,CONT000865,0.43,2025-02-23 01:07:34
SRCH00000103,USER002729,Marvel,CONT000658,CONT000658,0.19,2023-02-17 18:43:09
SRCH00000104,USER002182,Action Movies,CONT000319,CONT000319,0.87,2024-09-24 08:32:22
SRCH00000105,USER002144,Sci-Fi,CONT000946,CONT000649,0.37,2024-02-24 02:07:08
SRCH00000106,USER000633,Marvel,CONT000279,CONT000451,0.24,2025-09-21 07:04:27
SRCH00000107,USER002683,Anime,CONT000043,CONT000706,0.02,2024-03-25 01:37:23
SRCH00000108,USER001877,Kids,CONT000940,CONT000107,0.39,2025-04-21 16:19:15
SRCH00000109,USER000349,Comedy,CONT000285,CONT000271,0.35,2023-07-24 20:31:55
SRCH00000110,USER002614,Marvel,CONT000577,CONT000582,0.58,2024-06-18 03:32:48
SRCH00000111,USER001630,KDrama,CONT000385,CONT000385,0.97,2026-04-05 10:43:58
SRCH00000112,USER002663,Documentary,CONT000330,CONT000330,0.82,2025-02-18 03:42:02
SRCH00000113,USER001971,IPL,CONT000292,CONT000569,0.07,2023-06-29 03:47:46
SRCH00000114,USER001200,Anime,CONT000841,CONT000399,0.34,2025-02-04 21:10:06
SRCH00000115,USER001653,Kids,CONT000322,CONT000720,0.64,2024-12-03 06:13:11
SRCH00000116,USER001542,Documentary,CONT000530,CONT000111,0.18,2024-02-26 14:29:09
SRCH00000117,USER001148,Anime,CONT000204,CONT000441,0.37,2024-10-22 07:20:13
SRCH00000118,USER001301,Kids,CONT000410,CONT000578,0.27,2025-05-03 02:37:09
SRCH00000119,USER002265,IPL,CONT000899,CONT000899,0.91,2024-11-25 01:21:36
SRCH00000120,USER000692,Anime,CONT000713,CONT000713,0.25,2023-12-31 08:58:51
SRCH00000121,USER002825,Anime,CONT000220,CONT000220,0.87,2025-06-26 10:20:33
SRCH00000122,USER001087,KDrama,CONT000743,CONT000086,0.75,2023-04-11 18:48:42
SRCH00000123,USER001467,Sci-Fi,CONT000508,CONT000522,0.11,2025-04-05 13:46:14
SRCH00000124,USER002306,Kids,CONT000390,CONT000669,0.47,2025-03-20 19:46:32
SRCH00000125,USER000632,Drama,CONT000193,CONT000680,0.75,2025-03-14 16:26:36
SRCH00000126,USER002192,Anime,CONT000144,CONT000672,0.80,2026-06-13 01:50:53
SRCH00000127,USER002184,Documentary,CONT000949,CONT000903,0.72,2025-06-14 19:37:39
SRCH00000128,USER002364,Comedy,CONT000370,CONT000328,0.37,2024-07-09 15:54:15
SRCH00000129,USER001036,Kids,CONT000517,CONT000633,0.48,2024-01-31 04:07:19
SRCH00000130,USER000038,KDrama,CONT000436,CONT000126,0.30,2023-03-03 10:11:11
SRCH00000131,USER001566,Action Movies,CONT000304,CONT000304,0.12,2026-03-29 19:00:07
SRCH00000132,USER000866,KDrama,CONT000407,CONT000894,0.59,2023-07-11 02:15:04
SRCH00000133,USER001622,Anime,CONT000594,CONT000753,0.13,2025-08-09 03:47:40
SRCH00000134,USER000308,Drama,CONT000637,CONT000634,0.85,2023-06-19 14:49:16
SRCH00000135,USER000465,IPL,CONT000735,CONT000732,0.32,2025-01-14 11:08:11
SRCH00000136,USER000854,Sci-Fi,CONT000768,CONT000768,0.01,2026-06-13 13:49:12
SRCH00000137,USER000659,Documentary,CONT000492,CONT000492,0.94,2026-02-18 15:52:24
SRCH00000138,USER002294,Kids,CONT000476,CONT000201,0.69,2023-01-05 12:56:54
SRCH00000139,USER000329,IPL,CONT000520,CONT000089,0.05,2025-09-15 19:44:38
SRCH00000140,USER000316,KDrama,CONT000228,CONT000456,0.52,2025-11-09 04:30:09
SRCH00000141,USER000862,Action Movies,CONT000937,CONT000817,0.67,2024-04-03 06:47:14
SRCH00000142,USER001984,Marvel,CONT000084,CONT000757,0.06,2023-07-08 16:44:15
SRCH00000143,USER001711,Sci-Fi,CONT000318,CONT000809,0.11,2025-08-27 16:38:57
SRCH00000144,USER000072,Kids,CONT000336,CONT000397,0.20,2023-11-24 01:16:21
SRCH00000145,USER000800,KDrama,CONT000711,CONT000140,0.80,2023-03-25 06:23:02
SRCH00000146,USER001638,Documentary,CONT000183,CONT000183,0.28,2023-08-15 18:02:58
SRCH00000147,USER002560,Kids,CONT000424,CONT000845,0.06,2026-03-07 06:11:27
SRCH00000148,USER000781,Comedy,CONT000940,CONT000653,0.53,2025-12-19 14:34:54
SRCH00000149,USER002179,Kids,CONT000931,CONT000562,0.11,2026-06-14 02:44:03
SRCH00000150,USER001312,Drama,CONT000633,CONT000633,0.95,2024-06-17 20:08:10
SRCH00000151,USER001080,IPL,CONT000870,CONT000992,0.20,2024-02-06 06:27:20
SRCH00000152,USER002166,IPL,CONT000192,CONT000173,0.32,2023-03-20 02:47:56
SRCH00000153,USER001050,Anime,CONT000367,CONT000497,0.60,2025-09-15 14:00:12
SRCH00000154,USER002963,Documentary,CONT000307,CONT000307,0.74,2026-06-05 12:05:55
SRCH00000155,USER001335,KDrama,CONT000511,CONT000106,0.09,2025-04-27 14:19:30
SRCH00000156,USER002517,Marvel,CONT000996,CONT000672,0.52,2024-12-08 15:37:52
SRCH00000157,USER000922,IPL,CONT000796,CONT000796,0.83,2023-01-10 18:40:45
SRCH00000158,USER000178,Action Movies,CONT000717,CONT000717,0.49,2025-03-24 08:02:35
SRCH00000159,USER002962,Documentary,CONT000574,CONT000548,0.65,2026-01-22 04:39:06
SRCH00000160,USER000784,Drama,CONT000855,CONT000948,0.22,2024-01-02 13:04:00
SRCH00000161,USER000197,Drama,CONT000912,CONT000729,0.04,2023-03-19 12:24:11
SRCH00000162,USER002247,Documentary,CONT000747,CONT000111,0.59,2026-06-09 09:11:49
SRCH00000163,USER001778,Drama,CONT000059,CONT000059,0.91,2025-12-10 13:43:26
SRCH00000164,USER001118,Sci-Fi,CONT000376,CONT000947,0.15,2025-04-19 15:21:10
SRCH00000165,USER000536,Anime,CONT000775,CONT000444,0.07,2023-01-13 07:34:08
SRCH00000166,USER002863,Action Movies,CONT000712,CONT000401,0.70,2025-10-04 00:03:04
SRCH00000167,USER000219,Sci-Fi,CONT000780,CONT000542,0.25,2024-08-17 03:46:39
SRCH00000168,USER002360,Sci-Fi,CONT000451,CONT000451,0.95,2026-02-04 11:57:54
SRCH00000169,USER001966,Documentary,CONT000038,CONT000654,0.12,2024-02-28 07:41:27
SRCH00000170,USER002336,KDrama,CONT000278,CONT000278,0.91,2025-03-08 18:15:43
SRCH00000171,USER002036,Anime,CONT000487,CONT000487,0.58,2023-03-09 03:19:33
SRCH00000172,USER001783,Kids,CONT000718,CONT000452,0.06,2025-03-06 21:11:21
SRCH00000173,USER000748,Marvel,CONT000166,CONT000166,0.35,2026-05-14 12:05:52
SRCH00000174,USER000958,Anime,CONT000847,CONT000847,0.62,2023-02-06 11:06:38
SRCH00000175,USER002733,Documentary,CONT000980,CONT000915,0.37,2024-04-10 11:22:51
SRCH00000176,USER002511,Documentary,CONT000044,CONT000044,0.87,2025-10-28 13:05:13
SRCH00000177,USER001869,Kids,CONT000383,CONT000114,0.03,2026-03-03 00:32:57
SRCH00000178,USER001870,Drama,CONT000102,CONT000102,0.72,2025-05-02 00:44:35
SRCH00000179,USER001433,Comedy,CONT000765,CONT000056,0.69,2024-06-12 14:36:16
SRCH00000180,USER002864,Documentary,CONT000001,CONT000001,0.84,2023-07-02 14:36:13
SRCH00000181,USER002094,IPL,CONT000332,CONT000447,0.75,2024-06-26 08:49:42
SRCH00000182,USER000099,Drama,CONT000899,CONT000208,0.34,2025-11-29 08:45:39
SRCH00000183,USER001498,Sci-Fi,CONT000959,CONT000959,0.84,2026-01-10 14:24:34
SRCH00000184,USER002958,Sci-Fi,CONT000576,CONT000066,0.03,2026-02-07 08:50:10
SRCH00000185,USER002211,Drama,CONT000655,CONT000655,0.93,2023-08-06 05:03:07
SRCH00000186,USER000486,Comedy,CONT000795,CONT000893,0.64,2026-06-25 15:24:35
SRCH00000187,USER002358,Kids,CONT000336,CONT000005,0.50,2024-03-31 23:51:39
SRCH00000188,USER002588,KDrama,CONT000954,CONT000954,0.61,2024-08-28 01:53:46
SRCH00000189,USER000941,Documentary,CONT000054,CONT000054,0.98,2023-01-02 16:34:31
SRCH00000190,USER001018,KDrama,CONT000376,CONT000169,0.06,2026-02-24 10:38:28
SRCH00000191,USER002574,IPL,CONT000496,CONT000359,0.73,2023-02-13 11:27:38
SRCH00000192,USER000774,Drama,CONT000212,CONT000366,0.67,2026-05-24 18:57:22
SRCH00000193,USER001429,Kids,CONT000876,CONT000118,0.73,2024-08-26 16:56:52
SRCH00000194,USER000175,Marvel,CONT000976,CONT000976,0.40,2025-09-11 04:17:13
SRCH00000195,USER002705,IPL,CONT000494,CONT000494,0.36,2026-03-18 03:01:08
SRCH00000196,USER001843,Marvel,CONT000412,CONT000762,0.23,2023-04-07 22:47:24
SRCH00000197,USER002337,Comedy,CONT000277,CONT000447,0.56,2023-02-13 05:20:51
SRCH00000198,USER001554,Anime,CONT000770,CONT000115,0.45,2026-02-22 07:16:36
SRCH00000199,USER001445,Sci-Fi,CONT000321,CONT000441,0.58,2025-11-28 04:34:11
SRCH00000200,USER002673,Anime,CONT000295,CONT000295,0.92,2023-03-11 00:18:34
SRCH00000201,USER001356,Documentary,CONT000833,CONT000106,0.18,2025-12-19 03:01:04
SRCH00000202,USER001536,Sci-Fi,CONT000966,CONT000237,0.04,2023-07-29 22:15:20
SRCH00000203,USER001338,Kids,CONT000408,CONT000613,0.76,2024-03-27 14:21:23
SRCH00000204,USER000089,Marvel,CONT000018,CONT000995,0.55,2026-03-27 14:04:42
SRCH00000205,USER000450,Marvel,CONT000492,CONT000936,0.32,2025-05-07 23:34:31
SRCH00000206,USER000842,Marvel,CONT000416,CONT000949,0.59,2025-01-18 07:00:50
SRCH00000207,USER000483,Anime,CONT000039,CONT000160,0.76,2023-05-07 20:36:22
SRCH00000208,USER002353,Sci-Fi,CONT000977,CONT000977,0.54,2025-05-25 12:14:21
SRCH00000209,USER002342,IPL,CONT000819,CONT000331,0.75,2024-12-11 20:24:48
SRCH00000210,USER002805,Action Movies,CONT000151,CONT000151,0.69,2024-05-04 02:09:02
SRCH00000211,USER000165,Anime,CONT000433,CONT000186,0.22,2024-08-13 19:52:53
SRCH00000212,USER000280,Drama,CONT000223,CONT000223,0.05,2025-10-09 04:03:23
SRCH00000213,USER002737,Documentary,CONT000089,CONT000859,0.20,2023-01-18 16:27:45
SRCH00000214,USER000187,KDrama,CONT000222,CONT000123,0.05,2026-02-24 07:55:56
SRCH00000215,USER000075,Drama,CONT000902,CONT000993,0.02,2023-03-30 10:44:26
SRCH00000216,USER002866,Sci-Fi,CONT000637,CONT000232,0.48,2023-03-29 00:41:03
SRCH00000217,USER001669,Comedy,CONT000176,CONT000852,0.72,2024-09-04 17:20:06
SRCH00000218,USER000464,Sci-Fi,CONT000481,CONT000481,0.82,2025-04-16 03:11:37
SRCH00000219,USER002420,KDrama,CONT000472,CONT000472,0.52,2025-01-08 10:15:31
SRCH00000220,USER002852,IPL,CONT000639,CONT000350,0.36,2025-04-26 04:57:50
SRCH00000221,USER001207,KDrama,CONT000268,CONT000268,0.14,2024-04-02 13:26:15
SRCH00000222,USER002712,Documentary,CONT000877,CONT000998,0.75,2025-03-21 14:12:19
SRCH00000223,USER000849,Action Movies,CONT000456,CONT000456,0.42,2023-11-16 06:29:22
SRCH00000224,USER001431,Documentary,CONT000985,CONT000459,0.28,2024-09-20 08:36:51
SRCH00000225,USER001515,Marvel,CONT000530,CONT000626,0.39,2026-03-22 14:02:36
SRCH00000226,USER001411,Documentary,CONT000094,CONT000906,0.11,2023-11-23 05:29:24
SRCH00000227,USER001350,Drama,CONT000569,CONT000494,0.61,2025-10-28 07:50:57
SRCH00000228,USER001526,Marvel,CONT000253,CONT000665,0.19,2025-11-13 07:54:47
SRCH00000229,USER000641,Kids,CONT000838,CONT000114,0.95,2025-05-16 04:12:07
SRCH00000230,USER001269,Marvel,CONT000622,CONT000242,0.76,2023-11-08 05:09:05
SRCH00000231,USER002083,Comedy,CONT000047,CONT000260,0.10,2025-09-07 16:43:09
SRCH00000232,USER001091,Marvel,CONT000690,CONT000644,0.54,2024-10-01 18:57:52
SRCH00000233,USER002258,Anime,CONT000813,CONT000036,0.05,2025-10-03 04:41:36
SRCH00000234,USER002673,KDrama,CONT000436,CONT000850,0.34,2026-02-12 15:25:51
SRCH00000235,USER000369,Action Movies,CONT000534,CONT000303,0.71,2026-05-25 00:54:24
SRCH00000236,USER001252,Kids,CONT000549,CONT000017,0.80,2023-09-21 23:14:19
SRCH00000237,USER002499,Documentary,CONT000977,CONT000977,0.15,2023-09-22 07:51:24
SRCH00000238,USER001398,Kids,CONT000744,CONT000210,0.36,2025-05-01 13:10:11
SRCH00000239,USER000470,Anime,CONT000513,CONT000042,0.48,2026-03-14 23:58:28
SRCH00000240,USER001699,Anime,CONT000536,CONT000430,0.06,2023-08-01 06:20:59
SRCH00000241,USER002848,Anime,CONT000143,CONT000143,0.44,2024-09-08 03:40:54
SRCH00000242,USER002977,Action Movies,CONT000146,CONT000664,0.15,2025-03-29 05:48:45
SRCH00000243,USER001148,Marvel,CONT000065,CONT000764,0.09,2024-12-28 09:46:07
SRCH00000244,USER002979,Comedy,CONT000586,CONT000597,0.71,2026-04-10 06:43:00
SRCH00000245,USER001232,IPL,CONT000948,CONT000588,0.07,2023-07-19 07:44:41
SRCH00000246,USER001514,Documentary,CONT000825,CONT000825,0.81,2026-02-27 03:56:06
SRCH00000247,USER000783,Documentary,CONT000007,CONT000605,0.07,2024-11-07 15:16:05
SRCH00000248,USER000081,Drama,CONT000389,CONT000910,0.49,2026-02-21 12:14:00
SRCH00000249,USER001409,Sci-Fi,CONT000605,CONT000605,0.98,2023-06-19 00:19:09
SRCH00000250,USER001006,IPL,CONT000054,CONT000366,0.42,2026-01-13 02:47:47
SRCH00000251,USER001159,Action Movies,CONT000876,CONT000203,0.80,2023-08-02 09:39:46
SRCH00000252,USER001711,Marvel,CONT000745,CONT000318,0.41,2023-08-12 09:06:27
SRCH00000253,USER000707,Marvel,CONT000195,CONT000479,0.60,2025-09-20 21:17:38
SRCH00000254,USER002580,Documentary,CONT000894,CONT000894,0.40,2023-06-16 22:36:25
SRCH00000255,USER001403,IPL,CONT000212,CONT000419,0.09,2024-07-11 15:43:19
SRCH00000256,USER000684,Anime,CONT000844,CONT000844,0.07,2025-02-08 05:17:13
SRCH00000257,USER001417,Documentary,CONT000015,CONT000015,0.25,2025-05-28 01:38:54
SRCH00000258,USER000726,Anime,CONT000960,CONT000960,0.96,2025-01-11 16:19:44
SRCH00000259,USER001029,Action Movies,CONT000561,CONT000386,0.36,2024-09-09 14:22:51
SRCH00000260,USER000883,Sci-Fi,CONT000482,CONT000802,0.07,2023-02-11 14:45:19
SRCH00000261,USER000130,Marvel,CONT000189,CONT000406,0.12,2026-01-17 16:06:04
SRCH00000262,USER002908,Drama,CONT000752,CONT000786,0.34,2024-09-08 05:09:45
SRCH00000263,USER001317,Marvel,CONT000635,CONT000290,0.79,2024-12-06 04:10:17
SRCH00000264,USER001250,KDrama,CONT000316,CONT000782,0.15,2026-06-23 23:39:18
SRCH00000265,USER002759,Drama,CONT000781,CONT000495,0.47,2026-01-01 15:31:57
SRCH00000266,USER002566,Drama,CONT000093,CONT000835,0.16,2024-02-19 12:37:07
SRCH00000267,USER001239,Documentary,CONT000674,CONT000116,0.55,2023-11-19 00:13:04
SRCH00000268,USER001582,IPL,CONT000700,CONT000552,0.19,2026-04-16 06:48:43
SRCH00000269,USER002398,Sci-Fi,CONT000057,CONT000693,0.07,2024-08-18 05:56:23
SRCH00000270,USER001961,KDrama,CONT000985,CONT000985,0.84,2025-04-08 03:20:17
SRCH00000271,USER001264,Documentary,CONT000797,CONT000971,0.56,2023-01-14 23:18:54
SRCH00000272,USER002233,Kids,CONT000479,CONT000479,0.60,2023-12-08 06:23:22
SRCH00000273,USER001972,Comedy,CONT000477,CONT000327,0.24,2023-08-19 20:43:11
SRCH00000274,USER002667,Comedy,CONT000482,CONT000095,0.24,2023-07-18 23:50:12
SRCH00000275,USER001946,Anime,CONT000305,CONT000096,0.51,2024-06-26 07:15:27
SRCH00000276,USER000982,Action Movies,CONT000660,CONT000631,0.41,2023-07-28 02:14:11
SRCH00000277,USER002977,Comedy,CONT000433,CONT000333,0.71,2023-09-09 14:33:34
SRCH00000278,USER001139,KDrama,CONT000922,CONT000169,0.59,2024-07-03 02:57:38
SRCH00000279,USER000700,Drama,CONT000736,CONT000736,0.84,2025-07-23 01:01:38
SRCH00000280,USER002407,Comedy,CONT000278,CONT000207,0.79,2025-01-05 21:13:13
SRCH00000281,USER000625,Kids,CONT000821,CONT000045,0.37,2024-07-10 14:52:22
SRCH00000282,USER000420,Comedy,CONT000154,CONT000361,0.33,2025-03-05 19:38:18
SRCH00000283,USER001536,Marvel,CONT000797,CONT000797,0.52,2026-01-14 19:41:02
SRCH00000284,USER001131,Anime,CONT000269,CONT000402,0.42,2026-05-14 13:56:44
SRCH00000285,USER002268,Action Movies,CONT000910,CONT000910,0.69,2024-04-02 18:46:31
SRCH00000286,USER002851,Kids,CONT000772,CONT000075,0.05,2024-02-04 18:47:35
SRCH00000287,USER002487,Documentary,CONT000985,CONT000040,0.42,2026-03-26 17:39:06
SRCH00000288,USER001385,Anime,CONT000816,CONT000133,0.57,2025-09-27 20:06:53
SRCH00000289,USER000423,Action Movies,CONT000900,CONT000022,0.18,2023-01-04 19:07:38
SRCH00000290,USER002250,Marvel,CONT000438,CONT000554,0.77,2024-10-29 19:36:35
SRCH00000291,USER000455,Kids,CONT000778,CONT000778,0.60,2024-07-29 09:39:19
SRCH00000292,USER000093,Kids,CONT000958,CONT000958,0.84,2024-07-06 10:51:41
SRCH00000293,USER001557,IPL,CONT000628,CONT000954,0.45,2023-12-17 11:53:01
SRCH00000294,USER002676,Action Movies,CONT000803,CONT000015,0.75,2023-04-07 08:56:42
SRCH00000295,USER002324,Marvel,CONT000439,CONT000813,0.71,2025-03-27 23:30:32
SRCH00000296,USER001472,Drama,CONT000446,CONT000991,0.16,2026-05-10 01:11:45
